（用户类型老师0学生1 姓名 证件号 学院 权限 信用等级 欠款（注意：欠款00.00后有英文空格）
0 刘德华 00000001 00000000 人文 5 5 00.00 
0 周华健 00000002 00000000 人文 5 5 00.00 
0 蔡依林 00000003 00000000 日语 5 5 00.00 
0 李宇春 00000004 00000000 信通 5 5 00.00 
1 刘备 00000005 00000000 计算机 5 5 00.00 
0 诸葛亮 00000006 00000000 计算机 5 5 00.00 
1 关羽 00000007 00000000 计算机 5 5 00.00 
1 张飞 00000008 00000000 计算机 5 5 00.00 
1 曹操 00000009 00000000 电子 5 5 00.00 
1 曹丕 00000010 00000000 电子 5 5 00.00 
0 曹植 00000011 00000000 电子 5 5 00.00 
0 司马懿 0000012 00000000 信安 5 5 00.00 
1 周瑜 00000013 00000000 信安 5 5 00.00 
0 孙策 00000014 00000000 信安 5 5 00.00 
